Table,qaqc_check,qaqc_check_type,Description ,present_in_Creel_QAQC_Report,present_in_FishDish?,present_in_FishApps,In FishApps
Catch,UM Chin Kept * excluding fall run,error - anomalous or impossible values,"Catches Kept UM Chinook that are run type ""Spring"",""Summer"",""NA"", and ignores ""Fall"" run type",,TRUE,FALSE,
Catch,All CWT + (Beep),error - anomalous or impossible values,All observations with cwt_detection status of CWT +(Beep) * includes NA snout_code and CWT_codes,,TRUE,FALSE,
Catch,CWT + (Beep) NA Snout Code,error - anomalous or impossible values,if NA snout code then cross reference with cwt code,,TRUE,FALSE,
Catch,CWT no (Beep) with Snout Code,error - anomalous or impossible values,CWT no (Beep) with a Snout Code,,TRUE,TRUE,SNID without CWT+
Creel Event,Needs Proof Stamp,error - anomalous or impossible values,,,TRUE,FALSE,
Creel Event,NA Survey End Time,error - missing values,,,TRUE,TRUE,Event start date or time is null 
Interview,Missing Trip Status,error - missing values,checks for NA trip_status,,TRUE,FALSE,
Interview,Fishing End Time > Interview Time,error - anomalous or impossible values,checks for interviews with a fishing end time > interview time,,TRUE,TRUE,Interview time before fishing start time
Interview,Fishing Start Time > Fishing End Time,error - anomalous or impossible values,checks for interviews with a fishing start time > fishing end time,,TRUE,TRUE,Fishing end time before fishing start time 
Interview,Trailer Count > Vehicle Count,error - anomalous or impossible values,checks for trailer counts > vehicle counts,,TRUE,FALSE,
Interview,Angler Count > Group Count,error - anomalous or impossible values,angler count > total group counts,,TRUE,TRUE,Angler Count > Group Count 
Interview,Vehicle Count > Group Count,error - anomalous or impossible values,checks for vehicle counts > total group counts,,TRUE,FALSE,
Interview,NA Previously Interviewed,error - missing values,checks for NA in previously_interviewed,,TRUE,FALSE,
Interview,NA Fishing Location,error - missing values,checks for NA in fishing_location,,TRUE,FALSE,
Interview,NA Fishery Name,error - missing values,checks for NA in fishery_name,,TRUE,FALSE,
Interview,Incomplete Trip Status with Fishing End Time,error - anomalous or impossible values,checks for incomplete interviews that have a recorded interview end time,,TRUE,FALSE,
Effort,Effort Count Sequence Check,error - anomalous or impossible values,"evaluates instances where the maximum daily count_sequence for a given location is less than the mode count_sequence (i.e., most frequent) from a given creel_event. ",,TRUE,FALSE,
Effort,Effort End Time > Start Time,error - anomalous or impossible values,,,TRUE,TRUE,Effort end time > Effort start time
Effort,NA Fishery Name,error - missing values,,,TRUE,FALSE,
Summaries,Total catch by fishery ,,Plot of …,,TRUE,FALSE,
Summaries,Total catch by Project ,,Plot ….,,TRUE,FALSE,
Summaries,Effort Summary Table ,data summary,,,TRUE,FALSE,
Summaries,Interview Summary Table ,data summary,,,TRUE,FALSE,
Summaries,Daily totals over the past 30 days ,summary plot,Plot … ,,TRUE,FALSE,
Summaries,Catch recorded in the last 30 days ,summary plot,Plot … ,,TRUE,FALSE,
Catch,CK jack must be <= 56cm,Chinook jack must have a fork length that is less than 56 cm,,,,TRUE,
Catch,CK adult must be >=57 cm   ,Chinook adult must have a fork length that is greater than 57 cm ,,,,TRUE,
Catch,CO jack must be <= 46 cm ,Coho jack must have a fork length that is less than or equal to 46 cm. ,,,,TRUE,
Catch,CO adult must be >= 47 cm ,Coho adults must have a fork length that is greater than or equal to 47 cm ,,,,TRUE,
Catch,Missing CWT status ,,,,,TRUE,
Catch,Fish count > 1? ,,,,,TRUE,
Catch,Missing fin clip ,,,,,TRUE,
Catch,Duplicate DNA,,,,,TRUE,
Catch,DNA without length,,,,0,TRUE,
Catch,Fork Length cm too long ,Fork length is greater than 130 cm ,,,,TRUE,
Catch,Missing PIT status ,,,,,TRUE,
Catch,PIT code without PIT tag detection ,,,,,TRUE,
Catch,Missing . in PIT code ,,,,,TRUE,
Catch,Missing PIT number,,,,,TRUE,
Catch,PIT code without PIT+,Missing Pit tag status ,,,,TRUE,
Catch,Invalid PIT length ,PIT tag code length is incorrect ,,,,TRUE,
Catch,Missing snout barcode,,,,,TRUE,
Catch,Snout barcode on fish that did not beep ,,,,,TRUE,
Catch,Missing SNID,,,,,TRUE,
Catch,Duplicate SNID ,,,,,TRUE,
Catch,SNID without CWT+,,,,,TRUE,
Creel Event,Event end time > Event start time,,,,,TRUE,
Creel Event,Event start date or time is null ,,,,,TRUE,
Interview,Angler Count > Group Count ,,,,,TRUE,
Interview,Fishing end time before fishing start time ,,,,,TRUE,
Interview,Interview time before fishing start time,,,,,TRUE,
Interview,Missing end time on complete trip ,,,,,TRUE,
Interview,Mainstem section not identified ,,,,,TRUE,
Interview,Missing target species,,,,,TRUE,
Effort,Effort end time > Effort start time,,,,,TRUE,
Effort,Effort location is null ,,,,,TRUE,
Effort,Effort count quantity null,,,,,TRUE,
Effort,Effort count type is null ,,,,,TRUE,
Interview ,NA Boat Used,error - missing values,checks for NA in boat_used field,,FALSE,FALSE,
Effort,census count items entered as index counts,error - anomalous or impossible values,checks for unexpected items counted in index effort counts (would reference study design fields in study_design_lut,,FALSE,FALSE,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
